,Name,POS,Age,HT,WT,College,Salary,Team,id,url,Stats,GP,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS
Caris LeVert,Caris LeVert,SG,27,78.0,205.0,Michigan,17500000.0,cleveland-cavaliers,2991043,https://www.espn.com/nba/player/_/id/2991043/caris-levert,Career,318.0,27.6,43.7,33.3,73.7,3.8,4.0,0.3,1.1,2.0,1.9,14.6
Robin Lopez,Robin Lopez,C,34,84.0,281.0,Stanford,5000000.0,cleveland-cavaliers,3447,https://www.espn.com/nba/player/_/id/3447/robin-lopez,Career,939.0,21.9,53.6,29.4,74.2,4.9,0.8,1.1,0.2,1.9,1.1,8.7
Kevin Love,Kevin Love,PF,33,80.0,251.0,UCLA,31258256.0,cleveland-cavaliers,3449,https://www.espn.com/nba/player/_/id/3449/kevin-love,Career,812.0,30.9,44.1,37.3,82.9,10.7,2.4,0.4,0.7,2.0,1.9,17.6
Lauri Markkanen,Lauri Markkanen,PF,25,83.0,240.0,Arizona,15690909.0,cleveland-cavaliers,4066336,https://www.espn.com/nba/player/_/id/4066336/lauri-markkanen,Career,282.0,29.7,44.1,36.4,85.0,6.8,1.3,0.5,0.7,1.9,1.3,15.4
Evan Mobley,Evan Mobley,C,21,83.0,215.0,USC,8075160.0,cleveland-cavaliers,4432158,https://www.espn.com/nba/player/_/id/4432158/evan-mobley,Career,69.0,33.8,50.8,25.0,66.3,8.3,2.5,1.7,0.8,2.1,1.9,15.0
Isaiah Mobley,Isaiah Mobley,F,22,82.0,240.0,USC,0.0,cleveland-cavaliers,4432815,https://www.espn.com/nba/player/_/id/4432815/isaiah-mobley,,,,,,,,,,,,,
RJ Nembhard Jr.,RJ Nembhard Jr.,SG,23,76.0,200.0,TCU,0.0,cleveland-cavaliers,4277916,https://www.espn.com/nba/player/_/id/4277916/rj-nembhard-jr,Career,14.0,4.5,33.3,0.0,75.0,0.5,0.9,0.0,0.1,0.1,0.2,1.1
Raul Neto,Raul Neto,PG,30,74.0,180.0,--,1669178.0,cleveland-cavaliers,2968361,https://www.espn.com/nba/player/_/id/2968361/raul-neto,Career,387.0,16.2,45.5,36.6,80.4,1.6,2.2,0.1,0.7,1.3,1.0,6.0
Isaac Okoro,Isaac Okoro,SF,21,77.0,225.0,Auburn,6720720.0,cleveland-cavaliers,4432822,https://www.espn.com/nba/player/_/id/4432822/isaac-okoro,Career,134.0,31.0,44.6,31.5,74.7,3.0,1.9,0.3,0.9,2.6,1.1,9.2
Cedi Osman,Cedi Osman,SF,27,79.0,230.0,--,8133334.0,cleveland-cavaliers,3893016,https://www.espn.com/nba/player/_/id/3893016/cedi-osman,Career,327.0,24.5,42.3,34.9,71.8,3.2,2.1,0.1,0.7,2.1,1.2,10.0
Rajon Rondo,Rajon Rondo,PG,36,73.0,180.0,Kentucky,1669178.0,cleveland-cavaliers,3026,https://www.espn.com/nba/player/_/id/3026/rajon-rondo,Career,957.0,29.9,45.6,32.4,61.1,4.5,7.9,0.1,1.6,2.1,2.7,9.8
Ricky Rubio,Ricky Rubio,PG,31,74.0,190.0,--,17800000.0,cleveland-cavaliers,4011,https://www.espn.com/nba/player/_/id/4011/ricky-rubio,Career,665.0,30.3,38.9,32.6,84.3,4.2,7.6,0.1,1.8,2.5,2.6,11.1
Collin Sexton,Collin Sexton,PG,23,73.0,190.0,Alabama,6439671.0,cleveland-cavaliers,4277811,https://www.espn.com/nba/player/_/id/4277811/collin-sexton,Career,218.0,32.9,45.8,37.8,82.7,3.0,3.3,0.1,0.8,2.3,2.5,20.0
Lamar Stevens,Lamar Stevens,F,25,78.0,230.0,Penn State,1517981.0,cleveland-cavaliers,4066405,https://www.espn.com/nba/player/_/id/4066405/lamar-stevens,Career,103.0,14.7,47.9,24.4,71.4,2.5,0.7,0.3,0.5,1.5,0.6,5.3
Luke Travers,Luke Travers,G,20,79.0,207.0,--,0.0,cleveland-cavaliers,4997539,https://www.espn.com/nba/player/_/id/4997539/luke-travers,,,,,,,,,,,,,
Dean Wade,Dean Wade,PF,25,81.0,228.0,Kansas State,1782621.0,cleveland-cavaliers,3912848,https://www.espn.com/nba/player/_/id/3912848/dean-wade,Career,126.0,18.0,44.7,36.5,71.4,3.0,1.0,0.3,0.5,1.4,0.4,5.3
Dylan Windler,Dylan Windler,SG,25,78.0,196.0,Belmont,2239200.0,cleveland-cavaliers,3906786,https://www.espn.com/nba/player/_/id/3906786/dylan-windler,Career,81.0,12.0,41.2,32.0,80.0,2.4,0.8,0.2,0.4,1.0,0.6,3.3
Marvin Bagley III,Marvin Bagley III,PF,23,83.0,235.0,Duke,11312114.0,detroit-pistons,4277848,https://www.espn.com/nba/player/_/id/4277848/marvin-bagley-iii,Career,166.0,25.1,50.1,29.1,66.3,7.4,0.9,0.7,0.5,2.1,1.3,13.6
Saddiq Bey,Saddiq Bey,SF,23,80.0,215.0,Villanova,2824320.0,detroit-pistons,4397136,https://www.espn.com/nba/player/_/id/4397136/saddiq-bey,Career,152.0,30.3,39.9,36.1,83.3,5.0,2.2,0.2,0.8,1.6,1.0,14.3
Buddy Boeheim,Buddy Boeheim,G,22,78.0,195.0,Syracuse,0.0,detroit-pistons,4395676,https://www.espn.com/nba/player/_/id/4395676/buddy-boeheim,,,,,,,,,,,,,
Alec Burks,Alec Burks,SG,31,78.0,214.0,Colorado,9536000.0,detroit-pistons,6429,https://www.espn.com/nba/player/_/id/6429/alec-burks,Career,625.0,23.0,41.8,38.0,79.9,3.5,2.0,0.2,0.7,1.9,1.2,10.6
Cade Cunningham,Cade Cunningham,PG,20,78.0,220.0,Oklahoma State,10050120.0,detroit-pistons,4432166,https://www.espn.com/nba/player/_/id/4432166/cade-cunningham,Career,64.0,32.6,41.6,31.4,84.5,5.5,5.6,0.7,1.2,3.1,3.7,17.4
Hamidou Diallo,Hamidou Diallo,SG,24,77.0,202.0,Kentucky,5200000.0,detroit-pistons,4080610,https://www.espn.com/nba/player/_/id/4080610/hamidou-diallo,Career,207.0,18.9,47.5,27.7,63.4,3.9,1.1,0.3,0.8,2.2,1.0,8.4
Jalen Duren,Jalen Duren,C,18,83.0,250.0,Memphis,0.0,detroit-pistons,4433621,https://www.espn.com/nba/player/_/id/4433621/jalen-duren,,,,,,,,,,,,,
Carsen Edwards,Carsen Edwards,PG,24,71.0,200.0,Purdue,1782621.0,detroit-pistons,4066407,https://www.espn.com/nba/player/_/id/4066407/carsen-edwards,Career,72.0,9.8,36.4,29.7,75.8,1.1,0.7,0.1,0.3,0.9,0.4,3.7
Luka Garza,Luka Garza,C,23,82.0,243.0,Iowa,925258.0,detroit-pistons,4277951,https://www.espn.com/nba/player/_/id/4277951/luka-garza,Career,32.0,12.2,44.9,32.7,62.3,3.1,0.6,0.2,0.3,1.7,0.6,5.8
Killian Hayes,Killian Hayes,PG,21,77.0,195.0,--,5572680.0,detroit-pistons,4683024,https://www.espn.com/nba/player/_/id/4683024/killian-hayes,Career,92.0,25.2,37.4,26.8,78.0,3.0,4.5,0.5,1.1,2.6,2.1,6.8
Jaden Ivey,Jaden Ivey,G,20,76.0,200.0,Purdue,0.0,detroit-pistons,4433218,https://www.espn.com/nba/player/_/id/4433218/jaden-ivey,,,,,,,,,,,,,
