,Name,POS,Age,HT,WT,College,Salary,Team,id,url,Stats,GP,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS
Zach LaVine,Zach LaVine,SG,27,"6' 5""",200 lbs,UCLA,"$19,500,000",chicago-bulls,3064440,https://www.espn.com/nba/player/_/id/3064440/zach-lavine,Career,478,31.8,46.1,38.6,83.0,3.9,3.9,0.3,0.9,2.2,2.7,19.8
Marko Simonovic,Marko Simonovic,C,22,"6' 11""",220 lbs,--,"$925,258",chicago-bulls,4683622,https://www.espn.com/nba/player/_/id/4683622/marko-simonovic,Career,9,3.9,26.7,20.0,72.7,1.1,0.0,0.1,0.1,0.7,0.2,1.9
Dalen Terry,Dalen Terry,G,20,"6' 7""",195 lbs,Arizona,--,chicago-bulls,4433159,https://www.espn.com/nba/player/_/id/4433159/dalen-terry,,,,,,,,,,,,,
Matt Thomas,Matt Thomas,SG,28,"6' 3""",190 lbs,Iowa State,"$1,669,178",chicago-bulls,3059311,https://www.espn.com/nba/player/_/id/3059311/matt-thomas,Career,126,9.7,43.3,40.4,80.4,1.2,0.5,0.0,0.2,0.6,0.3,4.0
Tristan Thompson,Tristan Thompson,C,31,"6' 9""",254 lbs,Texas,"$1,000,000",chicago-bulls,6474,https://www.espn.com/nba/player/_/id/6474/tristan-thompson,Career,730,26.8,51.9,26.3,60.5,8.4,1.0,0.7,0.5,2.3,1.1,9.0
Nikola Vucevic,Nikola Vucevic,C,31,"6' 10""",260 lbs,USC,"$24,000,000",chicago-bulls,6478,https://www.espn.com/nba/player/_/id/6478/nikola-vucevic,Career,741,30.9,49.4,34.8,75.7,10.4,2.7,0.9,0.9,2.5,1.7,16.9
Coby White,Coby White,PG,22,"6' 4""",195 lbs,North Carolina,"$5,837,760",chicago-bulls,4395651,https://www.espn.com/nba/player/_/id/4395651/coby-white,Career,195,28.2,41.3,36.5,85.1,3.6,3.5,0.2,0.6,2.2,1.7,13.7
Patrick Williams,Patrick Williams,PF,20,"6' 7""",215 lbs,Florida State,"$7,422,000",chicago-bulls,4431687,https://www.espn.com/nba/player/_/id/4431687/patrick-williams,Career,88,27.3,49.0,41.3,72.9,4.5,1.3,0.6,0.8,1.8,1.3,9.2
Ochai Agbaji,Ochai Agbaji,F,22,"6' 5""",215 lbs,Kansas,--,cleveland-cavaliers,4397018,https://www.espn.com/nba/player/_/id/4397018/ochai-agbaji,,,,,,,,,,,,,
Jarrett Allen,Jarrett Allen,C,24,"6' 10""",243 lbs,Texas,"$20,000,000",cleveland-cavaliers,4066328,https://www.espn.com/nba/player/_/id/4066328/jarrett-allen,Career,341,26.6,62.6,18.9,69.9,8.7,1.4,1.4,0.5,2.0,1.3,11.6
Moses Brown,Moses Brown,C,22,"7' 2""",245 lbs,UCLA,"$19,186",cleveland-cavaliers,4397126,https://www.espn.com/nba/player/_/id/4397126/moses-brown,Career,92,14.1,55.4,0.0,60.2,5.8,0.1,0.7,0.4,1.7,0.7,6.0
Ed Davis,Ed Davis,C,33,"6' 9""",218 lbs,North Carolina,"$1,669,178",cleveland-cavaliers,4259,https://www.espn.com/nba/player/_/id/4259/ed-davis,Career,722,19.1,56.7,0.0,58.3,6.4,0.7,0.8,0.5,2.4,0.7,5.9
Khalifa Diop,Khalifa Diop,C,20,"6' 11""",231 lbs,--,--,cleveland-cavaliers,4997530,https://www.espn.com/nba/player/_/id/4997530/khalifa-diop,,,,,,,,,,,,,
Tim Frazier,Tim Frazier,PG,31,"6' 0""",170 lbs,Penn State,--,cleveland-cavaliers,2488945,https://www.espn.com/nba/player/_/id/2488945/tim-frazier,Career,289,17.6,40.0,32.3,72.3,2.3,4.0,0.1,0.7,1.8,1.3,4.9
Darius Garland,Darius Garland,PG,22,"6' 1""",192 lbs,Vanderbilt,"$7,040,880",cleveland-cavaliers,4396907,https://www.espn.com/nba/player/_/id/4396907/darius-garland,Career,181,33.4,44.3,37.8,87.6,2.6,6.3,0.1,1.1,1.8,3.1,17.4
Brandon Goodwin,Brandon Goodwin,G,26,"6' 0""",180 lbs,Florida Gulf Coast,--,cleveland-cavaliers,3057198,https://www.espn.com/nba/player/_/id/3057198/brandon-goodwin,Career,133,12.1,39.0,31.5,73.0,1.6,1.9,0.0,0.4,1.0,0.8,4.7
Caris LeVert,Caris LeVert,SG,27,"6' 6""",205 lbs,Michigan,"$17,500,000",cleveland-cavaliers,2991043,https://www.espn.com/nba/player/_/id/2991043/caris-levert,Career,318,27.6,43.7,33.3,73.7,3.8,4.0,0.3,1.1,2.0,1.9,14.6
Robin Lopez,Robin Lopez,C,34,"7' 0""",281 lbs,Stanford,"$5,000,000",cleveland-cavaliers,3447,https://www.espn.com/nba/player/_/id/3447/robin-lopez,Career,939,21.9,53.6,29.4,74.2,4.9,0.8,1.1,0.2,1.9,1.1,8.7
Kevin Love,Kevin Love,PF,33,"6' 8""",251 lbs,UCLA,"$31,258,256",cleveland-cavaliers,3449,https://www.espn.com/nba/player/_/id/3449/kevin-love,Career,812,30.9,44.1,37.3,82.9,10.7,2.4,0.4,0.7,2.0,1.9,17.6
Lauri Markkanen,Lauri Markkanen,PF,25,"6' 11""",240 lbs,Arizona,"$15,690,909",cleveland-cavaliers,4066336,https://www.espn.com/nba/player/_/id/4066336/lauri-markkanen,Career,282,29.7,44.1,36.4,85.0,6.8,1.3,0.5,0.7,1.9,1.3,15.4
Evan Mobley,Evan Mobley,C,21,"6' 11""",215 lbs,USC,"$8,075,160",cleveland-cavaliers,4432158,https://www.espn.com/nba/player/_/id/4432158/evan-mobley,Career,69,33.8,50.8,25.0,66.3,8.3,2.5,1.7,0.8,2.1,1.9,15.0
Isaiah Mobley,Isaiah Mobley,F,22,"6' 10""",240 lbs,USC,--,cleveland-cavaliers,4432815,https://www.espn.com/nba/player/_/id/4432815/isaiah-mobley,,,,,,,,,,,,,
RJ Nembhard Jr.,RJ Nembhard Jr.,SG,23,"6' 4""",200 lbs,TCU,--,cleveland-cavaliers,4277916,https://www.espn.com/nba/player/_/id/4277916/rj-nembhard-jr,Career,14,4.5,33.3,0.0,75.0,0.5,0.9,0.0,0.1,0.1,0.2,1.1
Raul Neto,Raul Neto,PG,30,"6' 2""",180 lbs,--,"$1,669,178",cleveland-cavaliers,2968361,https://www.espn.com/nba/player/_/id/2968361/raul-neto,Career,387,16.2,45.5,36.6,80.4,1.6,2.2,0.1,0.7,1.3,1.0,6.0
Isaac Okoro,Isaac Okoro,SF,21,"6' 5""",225 lbs,Auburn,"$6,720,720",cleveland-cavaliers,4432822,https://www.espn.com/nba/player/_/id/4432822/isaac-okoro,Career,134,31.0,44.6,31.5,74.7,3.0,1.9,0.3,0.9,2.6,1.1,9.2
Cedi Osman,Cedi Osman,SF,27,"6' 7""",230 lbs,--,"$8,133,334",cleveland-cavaliers,3893016,https://www.espn.com/nba/player/_/id/3893016/cedi-osman,Career,327,24.5,42.3,34.9,71.8,3.2,2.1,0.1,0.7,2.1,1.2,10.0
Rajon Rondo,Rajon Rondo,PG,36,"6' 1""",180 lbs,Kentucky,"$1,669,178",cleveland-cavaliers,3026,https://www.espn.com/nba/player/_/id/3026/rajon-rondo,Career,957,29.9,45.6,32.4,61.1,4.5,7.9,0.1,1.6,2.1,2.7,9.8
Ricky Rubio,Ricky Rubio,PG,31,"6' 2""",190 lbs,--,"$17,800,000",cleveland-cavaliers,4011,https://www.espn.com/nba/player/_/id/4011/ricky-rubio,Career,665,30.3,38.9,32.6,84.3,4.2,7.6,0.1,1.8,2.5,2.6,11.1
Collin Sexton,Collin Sexton,PG,23,"6' 1""",190 lbs,Alabama,"$6,439,671",cleveland-cavaliers,4277811,https://www.espn.com/nba/player/_/id/4277811/collin-sexton,Career,218,32.9,45.8,37.8,82.7,3.0,3.3,0.1,0.8,2.3,2.5,20.0
Lamar Stevens,Lamar Stevens,F,25,"6' 6""",230 lbs,Penn State,"$1,517,981",cleveland-cavaliers,4066405,https://www.espn.com/nba/player/_/id/4066405/lamar-stevens,Career,103,14.7,47.9,24.4,71.4,2.5,0.7,0.3,0.5,1.5,0.6,5.3
Luke Travers,Luke Travers,G,20,"6' 7""",207 lbs,--,--,cleveland-cavaliers,4997539,https://www.espn.com/nba/player/_/id/4997539/luke-travers,,,,,,,,,,,,,
Dean Wade,Dean Wade,PF,25,"6' 9""",228 lbs,Kansas State,"$1,782,621",cleveland-cavaliers,3912848,https://www.espn.com/nba/player/_/id/3912848/dean-wade,Career,126,18.0,44.7,36.5,71.4,3.0,1.0,0.3,0.5,1.4,0.4,5.3
Dylan Windler,Dylan Windler,SG,25,"6' 6""",196 lbs,Belmont,"$2,239,200",cleveland-cavaliers,3906786,https://www.espn.com/nba/player/_/id/3906786/dylan-windler,Career,81,12.0,41.2,32.0,80.0,2.4,0.8,0.2,0.4,1.0,0.6,3.3
Marvin Bagley III,Marvin Bagley III,PF,23,"6' 11""",235 lbs,Duke,"$11,312,114",detroit-pistons,4277848,https://www.espn.com/nba/player/_/id/4277848/marvin-bagley-iii,Career,166,25.1,50.1,29.1,66.3,7.4,0.9,0.7,0.5,2.1,1.3,13.6
Saddiq Bey,Saddiq Bey,SF,23,"6' 8""",215 lbs,Villanova,"$2,824,320",detroit-pistons,4397136,https://www.espn.com/nba/player/_/id/4397136/saddiq-bey,Career,152,30.3,39.9,36.1,83.3,5.0,2.2,0.2,0.8,1.6,1.0,14.3
Buddy Boeheim,Buddy Boeheim,G,22,"6' 6""",195 lbs,Syracuse,--,detroit-pistons,4395676,https://www.espn.com/nba/player/_/id/4395676/buddy-boeheim,,,,,,,,,,,,,
Alec Burks,Alec Burks,SG,31,"6' 6""",214 lbs,Colorado,"$9,536,000",detroit-pistons,6429,https://www.espn.com/nba/player/_/id/6429/alec-burks,Career,625,23.0,41.8,38.0,79.9,3.5,2.0,0.2,0.7,1.9,1.2,10.6
Cade Cunningham,Cade Cunningham,PG,20,"6' 6""",220 lbs,Oklahoma State,"$10,050,120",detroit-pistons,4432166,https://www.espn.com/nba/player/_/id/4432166/cade-cunningham,Career,64,32.6,41.6,31.4,84.5,5.5,5.6,0.7,1.2,3.1,3.7,17.4
