,Name,POS,Age,HT,WT,College,Salary,Team
Dwight Powell,Dwight Powell,C,31,"6' 10""",240 lbs,Stanford,"$11,080,125",dallas-mavericks
Christian Wood,Christian Wood,C,26,"6' 9""",214 lbs,UNLV,"$13,666,667",dallas-mavericks
Moses Wright,Moses Wright,F,23,"6' 8""",226 lbs,Georgia Tech,--,dallas-mavericks
Sterling Brown,Sterling Brown,SF,27,"6' 5""",219 lbs,SMU,"$3,000,000",houston-rockets
Trey Burke,Trey Burke,PG,29,"6' 0""",185 lbs,Michigan,"$3,150,000",houston-rockets
Marquese Chriss,Marquese Chriss,SF,25,"6' 9""",240 lbs,Washington,"$958,529",houston-rockets
Josh Christopher,Josh Christopher,SG,20,"6' 3""",215 lbs,Arizona State,"$2,259,240",houston-rockets
Tari Eason,Tari Eason,F,21,"6' 8""",216 lbs,LSU,--,houston-rockets
Bruno Fernando,Bruno Fernando,F,23,"6' 9""",240 lbs,Maryland,"$1,782,621",houston-rockets
Usman Garuba,Usman Garuba,PF,20,"6' 8""",229 lbs,--,"$2,353,320",houston-rockets
Eric Gordon,Eric Gordon,SG,33,"6' 3""",215 lbs,Indiana,"$18,218,818",houston-rockets
Jalen Green,Jalen Green,SG,20,"6' 4""",186 lbs,--,"$8,992,200",houston-rockets
Anthony Lamb,Anthony Lamb,F,24,"6' 6""",227 lbs,Vermont,--,houston-rockets
Boban Marjanovic,Boban Marjanovic,C,33,"7' 3""",290 lbs,--,"$3,500,000",houston-rockets
Kenyon Martin Jr.,Kenyon Martin Jr.,F,21,"6' 5""",215 lbs,--,"$1,517,981",houston-rockets
Garrison Mathews,Garrison Mathews,SG,25,"6' 5""",215 lbs,Lipscomb,"$2,000,000",houston-rockets
Daishen Nix,Daishen Nix,SG,20,"6' 4""",226 lbs,--,"$612,000",houston-rockets
David Nwaba,David Nwaba,SF,29,"6' 5""",219 lbs,Cal Poly,"$4,650,000",houston-rockets
Kevin Porter Jr.,Kevin Porter Jr.,SG,22,"6' 4""",203 lbs,USC,"$1,782,621",houston-rockets
Dennis Schroder,Dennis Schroder,PG,28,"6' 1""",172 lbs,--,"$5,890,000",houston-rockets
Alperen Sengun,Alperen Sengun,C,20,"6' 10""",243 lbs,--,"$3,214,680",houston-rockets
Jabari Smith Jr.,Jabari Smith Jr.,F,19,"6' 10""",220 lbs,Auburn,--,houston-rockets
Jae'Sean Tate,Jae'Sean Tate,SF,26,"6' 4""",230 lbs,Ohio State,"$1,517,981",houston-rockets
TyTy Washington Jr.,TyTy Washington Jr.,G,20,"6' 3""",197 lbs,Kentucky,--,houston-rockets
Steven Adams,Steven Adams,C,29,"6' 11""",265 lbs,Pittsburgh,"$17,073,171",memphis-grizzlies
Santi Aldama,Santi Aldama,PF,21,"6' 11""",215 lbs,"$1,994,520",,memphis-grizzlies
Desmond Bane,Desmond Bane,SG,24,"6' 5""",215 lbs,TCU,"$2,033,160",memphis-grizzlies
Dillon Brooks,Dillon Brooks,SF,26,"6' 7""",225 lbs,Oregon,"$12,200,000",memphis-grizzlies
Kennedy Chandler,Kennedy Chandler,G,19,"6' 0""",171 lbs,Tennessee,--,memphis-grizzlies
Brandon Clarke,Brandon Clarke,PF,25,"6' 8""",215 lbs,Gonzaga,"$2,726,880",memphis-grizzlies
Jarrett Culver,Jarrett Culver,G,23,"6' 6""",195 lbs,Texas Tech,"$6,395,160",memphis-grizzlies
Danny Green,Danny Green,SF,35,"6' 6""",215 lbs,North Carolina,"$10,000,000",memphis-grizzlies
Jaren Jackson Jr.,Jaren Jackson Jr.,PF,22,"6' 11""",242 lbs,Michigan State,"$9,180,560",memphis-grizzlies
Tyus Jones,Tyus Jones,PG,26,"6' 0""",196 lbs,Duke,"$8,376,286",memphis-grizzlies
John Konchar,John Konchar,SG,26,"6' 5""",210 lbs,--,"$2,200,000",memphis-grizzlies
Jake LaRavia,Jake LaRavia,F,20,"6' 8""",235 lbs,Wake Forest,--,memphis-grizzlies
Ja Morant,Ja Morant,PG,22,"6' 3""",174 lbs,Murray State,"$9,603,360",memphis-grizzlies
Yves Pons,Yves Pons,SG,23,"6' 5""",206 lbs,Tennessee,--,memphis-grizzlies
David Roddy,David Roddy,G,21,"6' 5""",252 lbs,Colorado State,--,memphis-grizzlies
Killian Tillie,Killian Tillie,SF,24,"6' 9""",220 lbs,Gonzaga,"$1,901,625",memphis-grizzlies
Xavier Tillman,Xavier Tillman,C,23,"6' 8""",245 lbs,Michigan State,"$1,517,981",memphis-grizzlies
Ziaire Williams,Ziaire Williams,SG,20,"6' 9""",185 lbs,Stanford,"$4,373,040",memphis-grizzlies
Vince Williams Jr.,Vince Williams Jr.,F,21,"6' 6""",205 lbs,Virginia Commonwealth,--,memphis-grizzlies
Jose Alvarado,Jose Alvarado,PG,24,"6' 0""",179 lbs,Georgia Tech,"$150,000",new-orleans-pelicans
Gary Clark,Gary Clark,F,27,"6' 6""",225 lbs,Cincinnati,--,new-orleans-pelicans
Dyson Daniels,Dyson Daniels,G,19,"6' 6""",199 lbs,--,--,new-orleans-pelicans
Devonte' Graham,Devonte' Graham,PG,27,"6' 1""",195 lbs,Kansas,"$11,000,000",new-orleans-pelicans
Jared Harper,Jared Harper,G,24,"6' 0""",175 lbs,Auburn,--,new-orleans-pelicans
Jaxson Hayes,Jaxson Hayes,C,22,"6' 11""",220 lbs,Texas,"$5,348,280",new-orleans-pelicans
Willy Hernangomez,Willy Hernangomez,C,28,"6' 11""",250 lbs,--,"$2,327,220",new-orleans-pelicans
Brandon Ingram,Brandon Ingram,SF,24,"6' 8""",190 lbs,Duke,"$29,467,800",new-orleans-pelicans
Herbert Jones,Herbert Jones,SF,23,"6' 7""",206 lbs,Alabama,"$1,700,000",new-orleans-pelicans
Kira Lewis Jr.,Kira Lewis Jr.,PG,21,"6' 1""",170 lbs,Alabama,"$3,822,240",new-orleans-pelicans
E.J. Liddell,E.J. Liddell,F,21,"6' 7""",240 lbs,Ohio State,--,new-orleans-pelicans
Naji Marshall,Naji Marshall,SF,24,"6' 7""",220 lbs,Xavier,"$1,517,981",new-orleans-pelicans
Karlo Matkovic,Karlo Matkovic,F,21,"6' 10""",231 lbs,--,--,new-orleans-pelicans
CJ McCollum,CJ McCollum,SG,30,"6' 3""",190 lbs,Lehigh,"$30,864,198",new-orleans-pelicans
Trey Murphy III,Trey Murphy III,SG,22,"6' 8""",206 lbs,Virginia,"$3,053,760",new-orleans-pelicans
Larry Nance Jr.,Larry Nance Jr.,PF,29,"6' 7""",245 lbs,Wyoming,"$10,690,909",new-orleans-pelicans
Tony Snell,Tony Snell,SF,30,"6' 6""",213 lbs,New Mexico,"$1,669,178",new-orleans-pelicans
Garrett Temple,Garrett Temple,SF,36,"6' 5""",195 lbs,LSU,"$4,910,000",new-orleans-pelicans
Jonas Valanciunas,Jonas Valanciunas,C,30,"6' 11""",265 lbs,--,"$14,000,000",new-orleans-pelicans
Zion Williamson,Zion Williamson,PF,22,"6' 6""",284 lbs,Duke,"$10,733,400",new-orleans-pelicans
Dominick Barlow,Dominick Barlow,F,19,"6' 10""",220 lbs,--,--,san-antonio-spurs
Keita Bates-Diop,Keita Bates-Diop,SF,26,"6' 8""",229 lbs,Ohio State,"$1,729,217",san-antonio-spurs
Malaki Branham,Malaki Branham,G,19,"6' 5""",195 lbs,Ohio State,--,san-antonio-spurs
Devontae Cacok,Devontae Cacok,PF,25,"6' 7""",240 lbs,North Carolina-Wilmington,"$364,353",san-antonio-spurs
Zach Collins,Zach Collins,PF,24,"6' 11""",250 lbs,Gonzaga,"$7,000,000",san-antonio-spurs
Keldon Johnson,Keldon Johnson,SF,22,"6' 6""",220 lbs,Kentucky,"$2,145,720",san-antonio-spurs
Tre Jones,Tre Jones,PG,22,"6' 1""",185 lbs,Duke,"$1,517,981",san-antonio-spurs
Romeo Langford,Romeo Langford,SG,22,"6' 5""",216 lbs,Indiana,"$3,804,360",san-antonio-spurs
Doug McDermott,Doug McDermott,SF,30,"6' 7""",225 lbs,Creighton,"$13,750,000",san-antonio-spurs
Jakob Poeltl,Jakob Poeltl,C,26,"7' 1""",245 lbs,Utah,"$8,750,000",san-antonio-spurs
Joshua Primo,Joshua Primo,SG,19,"6' 5""",190 lbs,Alabama,"$3,946,800",san-antonio-spurs
Josh Richardson,Josh Richardson,SG,28,"6' 5""",200 lbs,Tennessee,"$11,615,328",san-antonio-spurs
Isaiah Roby,Isaiah Roby,PF,24,"6' 8""",230 lbs,Nebraska,"$1,782,621",san-antonio-spurs
Jeremy Sochan,Jeremy Sochan,F,19,"6' 8""",225 lbs,Baylor,--,san-antonio-spurs
D.J. Stewart Jr.,D.J. Stewart Jr.,F,23,"6' 6""",205 lbs,Mississippi State,--,san-antonio-spurs
Devin Vassell,Devin Vassell,SG,21,"6' 5""",200 lbs,Florida State,"$4,235,160",san-antonio-spurs
Blake Wesley,Blake Wesley,G,19,"6' 5""",185 lbs,Notre Dame,--,san-antonio-spurs
Joe Wieskamp,Joe Wieskamp,SF,22,"6' 6""",205 lbs,Iowa,"$202,068",san-antonio-spurs
Robert Woodard II,Robert Woodard II,SF,22,"6' 7""",230 lbs,Mississippi State,"$1,517,981",san-antonio-spurs
